term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,4.858946834822226,2.7105898047289116,0.35322078493380304,4.7368796489166,10.368384359398313,pLA,NA,NA
cf.Tm,32.628544559056834,2.1024742357526667,28.51533576847952,32.54274160708245,37.259606992278655,pLA,NA,NA
cf.q,6.115431407075096e-4,1.5942629188844256e-4,3.5895972864464636e-4,5.929165127849998e-4,9.822249541544738e-4,pLA,NA,NA
cf.sigma,0.17886646194630804,0.030290489500780712,0.1331277568054113,0.17481268554634197,0.24949257172378966,pLA,NA,NA
deviance,-43.39118482861097,7.631137447556366,-55.35155484034245,-44.30285640439476,-25.8812514135847,pLA,NA,NA
sigma_T0,3.3697303915089645,2.341418031759992,0.15225008561852152,3.001074686684209,8.858827113441626,pLA,NA,NA
sigma_Tm,4.22733402262981,1.8828802399046167,1.5162340348707948,3.8593411051524344,8.839341025489666,pLA,NA,NA
sigma_q,2.0074380402621269e-4,1.522847798053332e-4,1.1620810158845277e-5,1.6801443611334465e-4,6.096217113984917e-4,pLA,NA,NA
Topt,25.796083333333332,1.9790977056981331,21,26,29,pLA,25,27
Tbreadth,27.769597724234607,3.5962439849067986,20.603986802507446,27.853818740422447,34.42625732820385,pLA,NA,NA
