term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,9.290421702174742,3.741185897864539,1.2020028130518288,9.890357481873613,15.265844154464858,EFGC,NA,NA
cf.Tm,39.36734554285522,3.2286669779593282,32.387070044710164,39.54577302094373,44.62692626974388,EFGC,NA,NA
cf.q,0.25939156288564347,0.11369631720548029,0.10735071616444765,0.2369898833130996,0.5308294736053444,EFGC,NA,NA
cf.sigma,22.9316037433886,3.869653710344287,17.302894943704306,22.33446208724131,32.19991255869358,EFGC,NA,NA
deviance,381.15862553490183,4.610836933772847,373.6893624616664,380.5524569958199,391.9112500352793,EFGC,NA,NA
sigma_T0,2.262453348873164,2.090387609581935,0.06954546713395905,1.6108054540260692,8.002022365018934,EFGC,NA,NA
sigma_Tm,3.5239383450081045,2.407412559191723,0.22090506703079968,3.043214303300746,8.986518536041045,EFGC,NA,NA
sigma_q,0.004993688901622393,0.0028577935907190704,2.9820285232575074e-4,0.004940256929412837,0.009756945369313872,EFGC,NA,NA
Topt,24.328873333333334,2.197356796035067,19.3,24.6,28,EFGC,23,25.9
Tbreadth,30.07692384068048,5.434170509402399,20.172759645212224,29.794649810575237,40.95914110015705,EFGC,NA,NA
