iteration,cf.T0,cf.Tm,cf.q,Tbreadth,trait
1,0.043928545,34.83581149,7.09E-05,34.79188294,MDR
2,0.089722239,35.33579818,6.86E-05,35.24607594,MDR
3,0.06816102,35.80664851,6.66E-05,35.73848749,MDR
4,0.041752377,35.81205641,6.60E-05,35.77030403,MDR
5,0.231834687,34.31639065,7.05E-05,34.08455597,MDR
6,0.084159528,35.68398577,6.76E-05,35.59982624,MDR
7,0.003879677,36.08467108,6.69E-05,36.08079141,MDR
8,0.20772502,35.04744304,6.91E-05,34.83971802,MDR
9,0.342450539,36.38662097,6.81E-05,36.04417043,MDR
10,4.43E-04,36.438985,6.61E-05,36.43854218,MDR
11,0.034391273,35.19517342,6.91E-05,35.16078214,MDR
12,0.001906553,35.94360732,6.71E-05,35.94170077,MDR
13,0.093770693,35.34711213,7.03E-05,35.25334144,MDR
14,0.30224973,34.42052046,7.31E-05,34.11827072,MDR
15,0.010139524,35.33443176,6.73E-05,35.32429224,MDR
16,0.001358412,35.46457538,6.79E-05,35.46321697,MDR
17,0.083561577,34.82707513,7.09E-05,34.74351356,MDR
18,0.104463488,34.62685419,7.05E-05,34.5223907,MDR
19,0.00913925,35.84853082,6.64E-05,35.83939157,MDR
20,0.013882917,35.64942366,6.90E-05,35.63554074,MDR
21,0.131214166,34.56414966,6.38E-05,34.43293549,MDR
22,0.001211356,35.05391558,6.74E-05,35.05270423,MDR
23,0.172630403,34.27393482,7.29E-05,34.10130441,MDR
24,0.355254456,35.00593414,6.95E-05,34.65067969,MDR
25,0.027787225,34.66161706,7.04E-05,34.63382984,MDR
26,0.323908773,35.08364451,6.92E-05,34.75973574,MDR
27,0.02859023,36.23990835,6.60E-05,36.21131812,MDR
28,0.004176055,34.34560765,6.73E-05,34.34143159,MDR
29,0.164171259,36.02685781,6.92E-05,35.86268655,MDR
30,0.03470066,34.37116907,7.07E-05,34.33646841,MDR
31,0.134488079,35.39273924,6.89E-05,35.25825116,MDR
32,0.068765585,35.43203679,6.85E-05,35.3632712,MDR
33,2.31E-04,34.51323576,6.96E-05,34.51300426,MDR
34,0.00293785,34.27917598,6.93E-05,34.27623813,MDR
35,0.004068225,35.32464984,6.60E-05,35.32058161,MDR
36,0.015522107,34.33629746,7.05E-05,34.32077535,MDR
37,0.017712415,34.1789084,6.73E-05,34.16119599,MDR
38,0.098422,35.22428709,6.70E-05,35.12586509,MDR
39,0.081818063,35.74255442,6.89E-05,35.66073636,MDR
40,0.350449262,35.65138161,6.88E-05,35.30093234,MDR
41,1.11E-04,36.12277882,6.56E-05,36.12266784,MDR
42,0.003575401,34.49704479,6.81E-05,34.49346939,MDR
