term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,14.34149105026062,0.7988311547668575,12.979966811120311,14.255390457262164,16.131122421371273,MDR,NA,NA
cf.Tm,43.31012457459044,1.3522910396221057,40.001557722925185,43.61326923090847,44.94713894173628,MDR,NA,NA
cf.q,4.470768113318185e-4,7.040006434136487e-5,3.3065052408873686e-4,4.395596125095238e-4,6.098844814674638e-4,MDR,NA,NA
cf.sigma,0.020592498600539518,0.0016996547579614253,0.0175537004757511,0.0204778873010172,0.024175315466170896,MDR,NA,NA
deviance,-599.5960865472069,8.566250900750196,-615.0667397578235,-600.1142252749117,-581.4424119706832,MDR,NA,NA
sigma_T0,0.8679101076504944,0.6403207525245194,0.0342350804941716,0.7529385517748332,2.3923972803324545,MDR,NA,NA
sigma_Tm,6.625078386253603,1.5254333241159932,3.9113012068399766,6.531662520793112,9.610376070244369,MDR,NA,NA
sigma_q,7.576322571335117e-5,5.508030330612081e-5,2.7482762175346523e-6,6.729212649975095e-5,2.0702370752496418e-4,MDR,NA,NA
Topt,28.824791666666666,0.7337638635018562,27,29,30,MDR,28.5,29.5
Tbreadth,28.96863352432982,1.689251867503658,24.976627497103287,29.251793622653715,31.439749236933174,MDR,NA,NA
