iteration,cf.T0,cf.Tm,cf.q,Tbreadth,trait
1,12.24783956038641,30.618582850051375,1.3766684123030644e-4,18.370743289664965,PDR
2,10.52478259274309,33.2964214766328,8.012700630577963e-5,22.77163888388971,PDR
3,11.435488197589535,45.12393851600847,7.599154565604954e-5,33.68845031841894,PDR
4,8.138751389371546,26.07925041385976,8.955864178589556e-5,17.940499024488215,PDR
5,10.248981294983512,37.443399815780396,7.32223389265743e-5,27.194418520796884,PDR
6,10.602346809639783,34.41455494116912,8.94490524746769e-5,23.81220813152934,PDR
7,14.639757160647955,37.536912005321,1.4632513391418578e-4,22.897154844673047,PDR
8,11.713755957040073,43.34802239661812,6.666468381144801e-5,31.63426643957805,PDR
9,12.107801264841688,40.94827506562952,8.225659299184137e-5,28.840473800787827,PDR
10,13.036665249869129,33.27695909963126,1.0815733519205322e-4,20.240293849762132,PDR
11,12.716182597520561,35.69847748697634,8.474225180467967e-5,22.982294889455776,PDR
12,9.932701220201585,29.59190858554086,8.870897700160315e-5,19.659207365339277,PDR
13,10.968616040069847,36.34322982866049,8.743877209083481e-5,25.374613788590644,PDR
14,10.589957392294707,37.023457201603904,7.8401441118868e-5,26.433499809309197,PDR
15,10.984075841878974,40.58920559146331,7.025068252010533e-5,29.605129749584336,PDR
16,13.358418254778032,32.45652125276986,1.1443796413862392e-4,19.09810299799183,PDR
17,13.774348853182234,43.58165185559693,9.540423436319638e-5,29.8073030024147,PDR
18,11.342698611574633,37.43473245742554,9.516338081697921e-5,26.092033845850906,PDR
19,11.020960112617454,39.21056645772612,6.476437820738273e-5,28.189606345108665,PDR
20,10.193947551789648,44.253689094729474,5.999627982533283e-5,34.059741542939825,PDR
21,11.280436678924271,30.232060157934203,1.1668670262470523e-4,18.951623479009932,PDR
22,11.336519550063933,34.28740681781896,9.560025257675329e-5,22.95088726775503,PDR
23,9.4624635547521,40.352481317139386,5.896303304356037e-5,30.890017762387288,PDR
24,13.192508442616486,42.912113520719174,1.1148167370926508e-4,29.71960507810269,PDR
25,11.850788837418982,36.90740630870769,8.103177231688288e-5,25.05661747128871,PDR
26,9.368873692082767,35.41789207757213,6.843854945934454e-5,26.04901838548936,PDR
27,14.785895100048258,31.288014134228945,1.3525970364509842e-4,16.502119034180687,PDR
28,11.088451193570007,42.287714421838515,6.62649676891004e-5,31.199263228268507,PDR
29,9.04315915339187,30.891683532176362,8.595972870981628e-5,21.848524378784493,PDR
30,12.837228830264664,36.360020780676734,7.36805697776273e-5,23.52279195041207,PDR
31,11.018889446412562,27.680395536602404,1.2470157246652927e-4,16.661506090189842,PDR
32,13.755138340439176,30.465316159031467,1.7219881142283613e-4,16.710177818592292,PDR
33,12.391229559342499,33.9675309005197,9.843139043751051e-5,21.5763013411772,PDR
34,11.821130787767162,41.139141352522095,7.43449165529243e-5,29.318010564754935,PDR
35,11.290336846649067,30.18287726500352,1.2889402221530005e-4,18.89254041835445,PDR
36,9.59847830104031,41.43744824875541,6.192310490335371e-5,31.8389699477151,PDR
37,9.257176553678413,32.73739382579678,6.879865075725302e-5,23.480217272118367,PDR
38,13.13053151887679,29.991699599568065,1.1847280358360095e-4,16.861168080691275,PDR
