term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,14.767890199794126,1.1148982018983242,12.317131092133192,14.846571677154596,16.742195058714437,PDR,NA,NA
cf.Tm,35.94336000932306,2.253099518196477,31.785275006138225,35.735281696171825,41.21910311705824,PDR,NA,NA
cf.q,1.0268138823377884e-4,1.7305415117500305e-5,7.134137587750297e-5,1.0188282263107868e-4,1.386122794670164e-4,PDR,NA,NA
cf.sigma,0.008959712885127195,0.002259971851120879,0.0056122204477613395,0.0086332461754495,0.014314546244151518,PDR,NA,NA
deviance,-167.06102843820497,8.597782155883813,-183.15649368722262,-167.30601946210965,-149.75761061878373,PDR,NA,NA
sigma_T0,1.4197195693878366,1.2905255635544146,0.057615938408533726,1.0834639975527283,4.994091192157539,PDR,NA,NA
sigma_Tm,3.8292780761120992,1.9714797792640997,1.159762756448662,3.4139639346448205,8.753893741069591,PDR,NA,NA
sigma_q,2.3753355407597847e-5,2.0443636532122954e-5,1.8501864337012062e-6,1.9027084985253294e-5,7.358775432789747e-5,PDR,NA,NA
Topt,30.701541666666667,1.7744240863823253,27.5,30.5,35,PDR,29.5,31.5
Tbreadth,21.175469809528934,2.562408616604921,16.55683230903136,20.94752419864465,27.099824412666212,PDR,NA,NA
