"","cf.T0","cf.Tm","Tbreadth","iter"
"1",14.1,28.6,14.5,1
"2",14.9,33.6,18.7,2
"3",13.9,32.8,18.9,3
"4",14.2,33.4,19.2,4
"5",15,31.8,16.8,5
"6",12,35.4,23.4,6
"7",14.8,32.5,17.7,7
"8",18.1,31.3,13.2,8
"9",13.6,29.3,15.7,9
"10",16.2,36.3,20.1,10
"11",13.8,34.3,20.5,11
"12",13.9,32.6,18.7,12
"13",9,32.8,23.8,13
"14",12.8,34.5,21.7,14
"15",15.8,31.8,16,15
"16",14.5,28.5,14,16
"17",14.1,33.3,19.2,17
"18",14.3,33.3,19,18
"19",12.8,33.9,21.1,19
"20",13.4,30.7,17.3,20
"21",16,32.7,16.7,21
"22",14.5,31.5,17,22
"23",11.3,33,21.7,23
"24",14.5,32,17.5,24
"25",13.4,34.3,20.9,25
"26",13.6,35.1,21.5,26
"27",14.2,29.9,15.7,27
"28",13.6,33,19.4,28
"29",15.7,31.8,16.1,29
"30",13.9,31.5,17.6,30
"31",12,34.6,22.6,31
"32",11.3,32.5,21.2,32
"33",13.4,33.6,20.2,33
"34",11.9,29.1,17.2,34
"35",14.3,30.1,15.8,35
"36",13.5,32.9,19.4,36
"37",14,32.2,18.2,37
"38",13.5,30.7,17.2,38
"39",14.3,30.4,16.1,39
"40",13.6,35.7,22.1,40
"41",14.3,28,13.7,41
"42",14.4,29.9,15.5,42
"43",14.6,29.4,14.8,43
"44",13.7,31.8,18.1,44
"45",12.7,35,22.3,45
"46",11.5,32.1,20.6,46
"47",15.2,35.1,19.9,47
"48",13.1,34.3,21.2,48
"49",13.5,31.4,17.9,49
"50",14.4,30.8,16.4,50
"51",14,32.5,18.5,51
"52",14.7,32.3,17.6,52
"53",16,26.3,10.3,53
"54",16.3,33.2,16.9,54
"55",14.6,33.2,18.6,55
"56",14.2,35.3,21.1,56
"57",10.5,34.7,24.2,57
"58",15.2,31.8,16.6,58
"59",14.1,31.5,17.4,59
"60",10.8,35.4,24.6,60
"61",14.1,34.6,20.5,61
"62",14.5,31.9,17.4,62
"63",12.2,34.4,22.2,63
"64",15.7,29.6,13.9,64
"65",12.5,29.3,16.8,65
"66",12.3,32.4,20.1,66
"67",16.2,34.9,18.7,67
"68",13.4,31.3,17.9,68
"69",14.3,32.2,17.9,69
"70",12.2,29.7,17.5,70
"71",15.3,31.7,16.4,71
"72",14.5,33.8,19.3,72
"73",12.3,32.3,20,73
"74",13.6,28.6,15,74
"75",15.9,31.1,15.2,75
"76",14.2,32.2,18,76
"77",10.6,32,21.4,77
"78",16.7,32.8,16.1,78
"79",13.8,33.4,19.6,79
"80",13.4,27.6,14.2,80
"81",14.7,32.6,17.9,81
"82",10.9,28.2,17.3,82
"83",15.2,33,17.8,83
"84",14.2,36.2,22,84
"85",11.4,32.3,20.9,85
"86",10.9,34.8,23.9,86
