trait_name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes,type,latitude,longitude
EV,32,0.936,0.015,0.013,95% confidence interval,percent hatch,photoperiod length,16,Aedes,vexans,McHaffey_1972_JMedEntomol,10.1093/jmedent/9.6.564,Figure 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,Arctic,46,-119
EV,32,0.953,0.024,0.009,95% confidence interval,percent hatch,photoperiod length,11,Aedes,vexans,McHaffey_1972_JMedEntomol,10.1093/jmedent/9.6.564,Figure 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,Arctic,46,-119
EV,25,0.916,0.024,0.015,95% confidence interval,percent hatch,photoperiod length,16,Aedes,vexans,McHaffey_1972_JMedEntomol,10.1093/jmedent/9.6.564,Figure 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,Arctic,46,-119
EV,25,0.91,0.019,0.019,95% confidence interval,percent hatch,photoperiod length,11,Aedes,vexans,McHaffey_1972_JMedEntomol,10.1093/jmedent/9.6.564,Figure 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,Arctic,46,-119
EV,10,0.53,0.028,0.032,95% confidence interval,percent hatch,photoperiod length,16,Aedes,vexans,McHaffey_1972_JMedEntomol,10.1093/jmedent/9.6.564,Figure 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,Arctic,46,-119
EV,10,0.646,0.032,0.028,95% confidence interval,percent hatch,photoperiod length,11,Aedes,vexans,McHaffey_1972_JMedEntomol,10.1093/jmedent/9.6.564,Figure 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,Arctic,46,-119
EV,32,0.929,0.013,0.016,95% confidence interval,percent hatch,photoperiod length,16,Aedes,dorsalis,McHaffey_1970_JMedEntomol,10.1093/jmedent/7.6.631,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
EV,32,0.928,0.017,0.021,95% confidence interval,percent hatch,photoperiod length,11,Aedes,dorsalis,McHaffey_1970_JMedEntomol,10.1093/jmedent/7.6.631,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
EV,25,0.856,0.019,0.021,95% confidence interval,percent hatch,photoperiod length,16,Aedes,dorsalis,McHaffey_1970_JMedEntomol,10.1093/jmedent/7.6.631,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
EV,25,0.658,0.035,0.026,95% confidence interval,percent hatch,photoperiod length,11,Aedes,dorsalis,McHaffey_1970_JMedEntomol,10.1093/jmedent/7.6.631,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
EV,10,0.343,0.03,0.029,95% confidence interval,percent hatch,photoperiod length,16,Aedes,dorsalis,McHaffey_1970_JMedEntomol,10.1093/jmedent/7.6.631,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
EV,10,0.4,0.035,0.024,95% confidence interval,percent hatch,photoperiod length,11,Aedes,dorsalis,McHaffey_1970_JMedEntomol,10.1093/jmedent/7.6.631,Figure 3,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
EV,32,0.997,NA,NA,95% confidence interval,percent hatch,photoperiod length,16,Aedes,nigromaculis,McHaffey_1972_MosqNews,10.5281/zenodo.16126961,Table 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
EV,32,0.996,NA,NA,95% confidence interval,percent hatch,photoperiod length,11,Aedes,nigromaculis,McHaffey_1972_MosqNews,10.5281/zenodo.16126961,Table 1,cumulative over 3 hatch attempts; standard error is 95% confidence interval,non-Arctic,46,-119
