trait_name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes,type,latitude,longitude
pLA,5,0,NA,NA,NA,NA,NA,NA,Aedes,vexans,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,Arctic,49.9,-97.1
pLA,10,0.04,NA,NA,NA,NA,NA,NA,Aedes,vexans,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,Arctic,49.9,-97.1
pLA,15.5,0.43,NA,NA,NA,NA,NA,NA,Aedes,vexans,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,Arctic,49.9,-97.1
pLA,21,0.78,NA,NA,NA,NA,NA,NA,Aedes,vexans,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,Arctic,49.9,-97.1
pLA,26.5,0.85,NA,NA,NA,NA,NA,NA,Aedes,vexans,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,Arctic,49.9,-97.1
pLA,32,0.7,NA,NA,NA,NA,NA,NA,Aedes,vexans,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,Arctic,49.9,-97.1
pLA,5,0,NA,NA,NA,NA,NA,NA,Aedes,vexans,Trpis&Shemanchuk_1970_TheCanadianEntomologist,10.4039/ent1021048-8,Results text,All larvae died in 1st instar,Arctic,49.7,-112.8
pLA,10,0.17,NA,NA,NA,NA,NA,NA,Aedes,vexans,Trpis&Shemanchuk_1970_TheCanadianEntomologist,10.4039/ent1021048-8,Figure 1,NA,Arctic,49.7,-112.8
pLA,15,0.56,NA,NA,NA,NA,NA,NA,Aedes,vexans,Trpis&Shemanchuk_1970_TheCanadianEntomologist,10.4039/ent1021048-8,Figure 2,NA,Arctic,49.7,-112.8
pLA,20,0.74,NA,NA,NA,NA,NA,NA,Aedes,vexans,Trpis&Shemanchuk_1970_TheCanadianEntomologist,10.4039/ent1021048-8,Figure 3,NA,Arctic,49.7,-112.8
pLA,25,0.86,NA,NA,NA,NA,NA,NA,Aedes,vexans,Trpis&Shemanchuk_1970_TheCanadianEntomologist,10.4039/ent1021048-8,Figure 4,NA,Arctic,49.7,-112.8
pLA,30,0.71,NA,NA,NA,NA,NA,NA,Aedes,vexans,Trpis&Shemanchuk_1970_TheCanadianEntomologist,10.4039/ent1021048-8,Figure 5,NA,Arctic,49.7,-112.8
pLA,5,0,NA,NA,NA,survival %,NA,NA,Aedes,flavescens,Trpis&Shemanchuk_1969_CanEntomol,10.4039/ent101128-8,result text,All larvae died in 1st instar,Arctic,49.7,-112.8
pLA,10,0.06,NA,NA,NA,survival %,NA,NA,Aedes,flavescens,Trpis&Shemanchuk_1969_CanEntomol,10.4039/ent101128-9,result text,NA,Arctic,49.7,-112.8
pLA,15,0.54,NA,NA,NA,survival %,NA,NA,Aedes,flavescens,Trpis&Shemanchuk_1969_CanEntomol,10.4039/ent101128-10,result text,NA,Arctic,49.7,-112.8
pLA,20,0.74,NA,NA,NA,survival %,NA,NA,Aedes,flavescens,Trpis&Shemanchuk_1969_CanEntomol,10.4039/ent101128-11,result text,NA,Arctic,49.7,-112.8
pLA,25,0.07,NA,NA,NA,survival %,NA,NA,Aedes,flavescens,Trpis&Shemanchuk_1969_CanEntomol,10.4039/ent101128-12,result text,NA,Arctic,49.7,-112.8
pLA,30,0,NA,NA,NA,survival %,NA,NA,Aedes,flavescens,Trpis&Shemanchuk_1969_CanEntomol,10.4039/ent101128-13,result text,All larvae died in 1st instar,Arctic,49.7,-112.8
pLA,5,0,NA,NA,NA,NA,NA,NA,Aedes,nigromaculis,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,non-Arctic,49.9,-97.1
pLA,10,0,NA,NA,NA,NA,NA,NA,Aedes,nigromaculis,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,non-Arctic,49.9,-97.1
pLA,15.5,0.35,NA,NA,NA,NA,NA,NA,Aedes,nigromaculis,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,non-Arctic,49.9,-97.1
pLA,21,0.82,NA,NA,NA,NA,NA,NA,Aedes,nigromaculis,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,non-Arctic,49.9,-97.1
pLA,26.5,0.77,NA,NA,NA,NA,NA,NA,Aedes,nigromaculis,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,non-Arctic,49.9,-97.1
pLA,32,0.72,NA,NA,NA,NA,NA,NA,Aedes,nigromaculis,Brust_1967_TheCanadianEntomologist,10.4039/ent99986-9,Table 4,NA,non-Arctic,49.9,-97.1
pLA,12,0,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,15,0.5,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,20,0.62,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,23,0.76,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,26,0.75,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,29,0.78,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,32,0.7,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,35,0.5,NA,NA,NA,NA,NA,NA,Aedes,sollicitans,Shelton_1973_MosquitoNews,NA,Figure 7,NA,non-Arctic,30.2,-93.2
pLA,12,0,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
pLA,15,1,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
pLA,20,0.95,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
pLA,23,0.97,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
pLA,26,0.94,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
pLA,29,0.4,NA,NA,NA,NA,NA,NA,Aedes,triseriatus,Shelton_1973_MosquitoNews,NA,Figure 8,NA,non-Arctic,30.2,-93.2
