iteration,cf.T0,cf.Tm,cf.q,Tbreadth,trait
1,14.15005829,40.93011127,1.62E-04,26.78005298,a
2,14.90690582,37.27116311,1.96E-04,22.36425728,a
3,13.93660715,40.603648,1.79E-04,26.66704085,a
4,14.24635589,38.5807356,2.69E-04,24.33437971,a
5,15.07397857,37.17010577,2.12E-04,22.0961272,a
6,12.09294568,40.85075206,1.27E-04,28.75780638,a
7,14.80639414,39.83055337,1.21E-04,25.02415923,a
8,16.64318329,36.18602347,2.40E-04,19.54284018,a
9,13.619039,38.51957892,1.94E-04,24.90053992,a
10,16.23814127,41.73554179,2.51E-04,25.49740052,a
11,13.85368197,38.26937177,2.38E-04,24.41568979,a
12,13.94656584,41.2189867,1.92E-04,27.27242086,a
13,9.067891018,44.62967982,1.43E-04,35.56178881,a
14,12.86083837,41.40691793,1.78E-04,28.54607957,a
15,15.8161214,39.8943521,2.00E-04,24.0782307,a
16,14.5340285,39.39397881,2.13E-04,24.85995031,a
17,14.10916904,40.79675194,2.14E-04,26.6875829,a
18,14.32870077,39.27314323,1.85E-04,24.94444246,a
19,12.84726204,42.13276028,1.59E-04,29.28549824,a
20,12.24507424,39.00432265,1.75E-04,26.75924841,a
21,16.06099336,36.49652786,3.39E-04,20.4355345,a
22,14.53096674,38.05103762,2.50E-04,23.52007089,a
23,11.3989877,42.87233643,1.36E-04,31.47334873,a
24,14.546876,42.85989917,2.11E-04,28.31302316,a
25,13.45630834,38.00791391,2.24E-04,24.55160557,a
26,13.6781,42.57803744,9.05E-05,28.89993744,a
27,14.23680118,40.60295454,1.92E-04,26.36615336,a
28,13.62141223,40.06832487,2.02E-04,26.44691264,a
29,15.71977054,40.26945537,2.05E-04,24.54968483,a
30,13.99749913,38.44023953,2.23E-04,24.4427404,a
31,12.04510075,41.94861038,1.65E-04,29.90350963,a
32,10.93416926,39.63041581,1.27E-04,28.69624655,a
33,13.41114637,33.50619151,2.19E-04,20.09504514,a
34,11.93630616,37.53610366,1.75E-04,25.59979751,a
35,14.37431825,43.28146427,1.90E-04,28.90714602,a
36,10.92379566,44.96281786,1.25E-04,34.03902221,a
37,14.09046971,39.96944447,1.88E-04,25.87897477,a
38,13.58736376,37.37161199,1.31E-04,23.78424823,a
39,14.30509653,39.04662515,2.30E-04,24.74152862,a
40,13.67045814,39.12161781,1.78E-04,25.45115967,a
41,14.31113368,35.5573683,2.32E-04,21.24623462,a
42,14.45756981,35.65823107,1.85E-04,21.20066126,a
43,14.65479198,39.98715456,2.08E-04,25.33236258,a
44,13.76667481,37.21462678,1.98E-04,23.44795196,a
45,12.72971822,38.60928855,1.81E-04,25.87957032,a
46,11.56041277,37.792068,1.70E-04,26.23165523,a
47,15.22412072,37.14411553,2.07E-04,21.9199948,a
48,13.1206641,40.55457916,1.83E-04,27.43391505,a
49,13.55528353,35.53766697,1.94E-04,21.98238344,a
50,14.45121447,38.91453896,2.60E-04,24.46332449,a
51,14.03942783,38.51391912,1.89E-04,24.47449129,a
52,14.70466841,39.34736242,2.85E-04,24.64269401,a
53,16.02159987,39.19760225,1.45E-04,23.17600239,a
54,16.37604979,38.5619599,1.42E-04,22.18591011,a
55,14.65073179,42.40524419,1.93E-04,27.7545124,a
56,14.2535821,37.18590346,2.05E-04,22.93232136,a
57,10.5856366,41.21591278,9.51E-05,30.63027618,a
58,15.28403197,43.52050995,2.02E-04,28.23647798,a
59,14.10842396,40.55315069,1.74E-04,26.44472673,a
60,10.33618828,43.79483402,1.22E-04,33.45864574,a
61,14.15045176,42.13065343,1.41E-04,27.98020167,a
62,12.75548958,36.76010831,1.86E-04,24.00461874,a
63,12.27954598,40.32579334,1.58E-04,28.04624736,a
64,15.70457202,39.26999234,2.11E-04,23.56542032,a
65,12.57456064,34.30923122,2.22E-04,21.73467058,a
66,12.3833256,39.92255845,1.75E-04,27.53923286,a
67,16.23461009,37.21597633,1.60E-04,20.98136624,a
68,13.40766798,37.23647613,2.01E-04,23.82880815,a
69,14.34962703,39.23967272,2.11E-04,24.89004569,a
