term,mean,sd,lowerCI,median,upperCI,trait
cf.T0,13.59476527,1.516395987,10.01817611,13.80731946,15.95204408,a
cf.Tm,39.81459331,2.518260005,35.17285992,39.65267919,44.54967921,a
cf.q,1.90E-04,5.25E-05,7.18E-05,1.90E-04,2.92E-04,a
cf.sigma,0.02563179,0.003944195,0.019257371,0.025160906,0.034617914,a
deviance,-199.1936676,9.440581232,-218.2135309,-199.4445819,-179.9023936,a
sigma_T0,1.859009653,1.390272943,0.093428384,1.611914497,5.401366543,a
sigma_Tm,4.870080342,2.344988057,0.963580293,4.573012444,9.498365515,a
sigma_q,6.13E-05,5.77E-05,2.50E-06,4.57E-05,2.16E-04,a
Topt,33.56590667,1.933206351,30,33.4,37.2,a
Tbreadth,26.21982805,3.297741356,20.53306017,25.95914858,32.89444757,a
