iteration,cf.T0,cf.Tm,cf.q,Tbreadth,trait
1,13.173230707452884,36.43699720222919,2.1203885984026068e-4,23.26376649477631,a
2,13.648430832197981,34.288864497973854,2.413117057333955e-4,20.640433665775873,a
3,13.555902702569124,38.26989373152595,2.327400176423514e-4,24.713991028956823,a
4,11.55819132830471,36.48474014937668,2.0014603525821687e-4,24.926548821071968,a
5,12.408573930020669,36.73171143778657,1.9873033799927583e-4,24.323137507765903,a
6,12.086652923232148,42.112125233478885,1.7894350996281081e-4,30.025472310246737,a
7,13.321522940126624,32.50841573075121,2.2886956507576958e-4,19.186892790624587,a
8,11.636054094269124,42.006921703388635,1.5350683443453764e-4,30.37086760911951,a
9,13.458201713221245,37.482483273968334,3.3385088805181867e-4,24.02428156074709,a
10,13.44911292880227,35.82509349766093,1.90858296730522e-4,22.375980568858658,a
11,13.86191193060901,36.180215927371925,2.2214341548563115e-4,22.318303996762914,a
12,13.686913093804586,35.93049372822564,2.032618617465897e-4,22.243580634421058,a
13,10.99224461200966,30.454590345511082,3.0069749473293544e-4,19.462345733501422,a
14,13.097984886853803,35.28819668534329,2.48473929966183e-4,22.190211798489486,a
15,13.965078996653432,37.416541061741476,2.5376301990970193e-4,23.451462065088045,a
16,10.322144676236512,35.049608926103474,1.5609873079683876e-4,24.727464249866962,a
17,14.648918424265846,36.91525163651168,2.526657088572451e-4,22.266333212245833,a
18,9.77694656246368,36.979980687712064,1.8670928007200375e-4,27.203034125248386,a
19,13.191606946677823,34.68237630923088,2.3612015866025655e-4,21.49076936255306,a
20,12.685323002400132,35.866157033465484,2.4951040343776176e-4,23.180834031065352,a
21,13.574379286216601,36.215437094836,2.2382582814143317e-4,22.641057808619397,a
22,13.725094993664518,37.41801390991744,2.1871240102377468e-4,23.69291891625292,a
23,14.023768480864577,38.356099919131175,2.58774838890341e-4,24.3323314382666,a
24,7.380377196403357,38.03190690756203,1.3376567479655874e-4,30.651529711158673,a
25,9.417040876425558,41.03474749915695,1.3381614015279517e-4,31.61770662273139,a
26,12.682927291179382,36.22947080248905,2.2918874333734048e-4,23.546543511309665,a
27,11.627308858689355,36.31794473096804,1.7491037721307454e-4,24.690635872278683,a
28,11.58234735397209,37.98995558462368,1.5602803886539826e-4,26.40760823065159,a
29,14.084810089842996,37.2312858766412,2.4403916992507847e-4,23.146475786798206,a
30,14.110617924265377,36.86124557294088,2.2699192933326958e-4,22.750627648675504,a
31,12.046889937153363,37.576484265343794,2.0075918696658854e-4,25.52959432819043,a
32,14.72893263912451,36.6043684160732,3.051047876142855e-4,21.87543577694869,a
33,12.96949084501302,38.14982227011528,1.6043324737769317e-4,25.18033142510226,a
34,8.642428024176628,36.38037115183435,4.648632470967633e-5,27.737943127657726,a
35,14.472745406933099,34.784177773238575,3.0238511845972376e-4,20.311432366305475,a
36,10.435818972952113,41.998593834101015,1.7526110174052666e-4,31.562774861148903,a
37,12.206625528705896,35.872569073816436,2.0143670212745683e-4,23.66594354511054,a
38,11.48566493881785,37.453340708639615,1.6130495700677865e-4,25.967675769821767,a
39,13.076638311790157,35.334975660438076,2.393320684793064e-4,22.25833734864792,a
40,9.059538927330255,26.784287353333642,1.5978591826459703e-4,17.724748426003387,a
41,4.190201847605437,41.982519834148434,9.405048057410943e-5,37.792317986543,a
42,13.481150889422285,36.56566560329522,2.4553957544202175e-4,23.084514713872938,a
43,12.298990736270962,38.79100717476338,1.8599711001660263e-4,26.492016438492417,a
44,11.142280990234246,36.692506546788714,1.910754201213779e-4,25.550225556554466,a
45,14.080862146831524,38.726125364711194,2.3191469320357373e-4,24.64526321787967,a
46,12.146296242282546,36.168662751075935,2.0379743602566149e-4,24.02236650879339,a
47,11.045373252541783,35.43430758753394,2.2008600308262967e-4,24.388934334992154,a
48,12.682484463713928,35.773656645283616,2.2192138203838197e-4,23.09117218156969,a
49,15.139476042182771,35.737600460270684,3.2918042126889156e-4,20.598124418087913,a
50,11.085324094332726,39.09109848637174,1.2785385302814786e-4,28.005774392039015,a
51,14.72108766002394,36.48841327303807,2.3797652130770294e-4,21.76732561301413,a
52,10.590469654428023,35.70442876979826,1.6973006047698127e-4,25.11395911537024,a
53,13.009277161645711,34.08150660187413,2.2325423538883322e-4,21.07222944022842,a
54,12.856398836034288,37.96647328170244,2.1776849118578014e-4,25.110074445668154,a
55,13.18271841725846,37.38829424667137,2.4864604417348203e-4,24.20557582941291,a
56,10.662126767846221,35.94030470819029,1.5638796632359915e-4,25.27817794034407,a
57,13.930886991511061,36.30982959794267,2.4219017577624717e-4,22.378942606431607,a
58,10.404901583457034,38.939427674152235,1.3316640527910413e-4,28.534526090695202,a
59,13.9737071470771,37.99012602110073,1.989343352459775e-4,24.01641887402363,a
60,13.491756393951727,35.96135530668324,2.0770762857416926e-4,22.469598912731513,a
61,13.032871896068889,37.75136984672164,2.113024170258718e-4,24.718497950652747,a
62,11.92153007556606,37.32236418682565,2.009478402026317e-4,25.40083411125959,a
63,9.70752325101244,36.69685514510111,1.9201338346597197e-4,26.98933189408867,a
64,11.734326761038934,34.96196513712069,1.9383885067898894e-4,23.227638376081757,a
65,14.700309010139982,38.21718058501136,2.762187885144417e-4,23.51687157487138,a
66,13.440827619566486,37.157195357882635,2.2477169918278949e-4,23.71636773831615,a
67,13.199746944139505,34.776583879460674,2.66241135885994e-4,21.576836935321168,a
68,12.180148117704142,32.09399369162763,1.9352740687256847e-4,19.91384557392349,a
69,12.597167804641694,37.7240066687843,1.8597748253952034e-4,25.126838864142606,a
70,11.604528548915333,36.32656580806082,2.2725154148931073e-4,24.722037259145488,a
71,12.223456022566253,39.31468148888604,2.1261564311135465e-4,27.091225466319784,a
