term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,12.166439257696638,2.416701155136429,5.430661509589233,12.770724620742513,15.105506283491106,a,NA,NA
cf.Tm,36.985162637002524,2.5884473399985803,31.295879697413948,36.947009560926496,42.67655591693587,a,NA,NA
cf.q,2.0313027039558598e-4,5.592348226629211e-5,9.580722844968496e-5,2.0337957321021625e-4,3.1690574063733247e-4,a,NA,NA
cf.sigma,0.022051836234511738,0.00650311373606897,0.014030749490896442,0.020811193067582768,0.037121939022669685,a,NA,NA
deviance,-93.75118068030066,6.198579036514278,-102.9541539266944,-94.6877155241944,-79.07554745565496,a,NA,NA
sigma_T0,1.2706810382131333,1.4169635769968727,0.029585542319205696,0.8165194934109725,5.570332537426344,a,NA,NA
sigma_Tm,3.0867900975584877,2.4315900799994616,0.12796068798805715,2.4695433865727336,8.84501803283138,a,NA,NA
sigma_q,3.53762885044335e-5,3.6063020570528005e-5,9.817556962577249e-7,2.6149232308956973e-5,1.2644546478651718e-4,a,NA,NA
Topt,31.117653333333333,2.0551523714573774,26.4,31.2,35.5,a,30.2,32.1
Tbreadth,24.818723379305883,3.650583934983152,18.83376776407954,24.231986574538773,33.688593301449764,a,NA,NA
