term,mean,sd,lowerCI,median,upperCI,trait
cf.T0,4.662637493,3.063299585,0.439593653,4.112393202,11.85036143,lf
cf.Tm,46.35312596,7.25326786,33.7575593,45.82609122,62.12647589,lf
cf.q,0.104378887,0.019956977,0.069726744,0.10285507,0.147597893,lf
cf.sigma,18.83167452,2.15061058,15.23086321,18.6350429,23.64213888,lf
deviance,431.1570078,3.891678445,425.8287623,430.3761892,440.739869,lf
sigma_T0,7.930045706,1.663354455,3.816475784,8.305815262,9.919684805,lf
sigma_Tm,5.712373021,2.890149277,0.348109588,6.084199363,9.837809228,lf
sigma_q,0.005063898,0.002864372,3.02E-04,0.005078814,0.009747782,lf
Topt,25.50703333,4.382154959,18.1,25.1,35,lf
Tbreadth,41.69048847,6.86321008,29.51016803,41.23793552,56.31637498,lf
