iteration,cf.T0,cf.Tm,cf.q,Tbreadth,trait
1,9.418117472,42.80363435,0.00296533,33.38551687,pLA
2,11.21785399,39.95056697,0.00476538,28.73271297,pLA
3,8.259298211,43.72127972,0.002608569,35.46198151,pLA
4,10.40247575,41.45682428,0.003706875,31.05434853,pLA
5,8.523579948,40.17980995,0.00312494,31.65623,pLA
6,8.655358113,45.05237268,0.00260112,36.39701457,pLA
7,9.132199082,39.04686745,0.003868726,29.91466837,pLA
8,11.58986438,37.80002551,0.004957845,26.21016113,pLA
9,9.316501345,41.92998755,0.002992544,32.61348621,pLA
10,9.437822204,37.59690308,0.004272096,28.15908087,pLA
11,8.485572232,42.35964095,0.002694374,33.87406872,pLA
12,8.689664545,43.40122947,0.002883276,34.71156492,pLA
13,9.077848875,41.09527678,0.003150368,32.0174279,pLA
14,8.998182152,39.13150539,0.003477819,30.13332324,pLA
15,9.597130585,39.1849849,0.003731638,29.58785432,pLA
16,10.50282881,39.37415583,0.00434008,28.87132702,pLA
17,9.277724133,42.63525931,0.002986247,33.35753518,pLA
18,9.170762822,41.26713933,0.003239393,32.0963765,pLA
19,9.2106306,39.56273593,0.00378042,30.35210533,pLA
20,8.823525252,41.83321532,0.003072442,33.00969007,pLA
21,9.116545388,40.20183376,0.003636167,31.08528837,pLA
22,8.944658381,41.21766022,0.003292914,32.27300184,pLA
23,9.221299108,40.60112271,0.003444266,31.3798236,pLA
24,9.449597391,40.15386961,0.003780918,30.70427222,pLA
25,9.28092597,39.51759618,0.003888797,30.23667021,pLA
26,8.48924723,41.62997162,0.002983709,33.14072439,pLA
27,9.158048263,41.19306446,0.003158626,32.03501619,pLA
28,8.648401627,42.69597942,0.002810431,34.04757779,pLA
29,8.725118145,40.20418904,0.003363406,31.47907089,pLA
30,8.079199216,41.12875374,0.002974224,33.04955452,pLA
31,10.37524808,43.91782502,0.003032883,33.54257695,pLA
32,9.220696191,41.00480373,0.003310601,31.78410754,pLA
33,7.613384273,45.30373028,0.002296277,37.69034601,pLA
34,8.07631737,43.61446675,0.002445462,35.53814938,pLA
35,9.285136666,40.67734699,0.003545413,31.39221033,pLA
36,8.685558804,40.5866379,0.003328286,31.9010791,pLA
37,8.290788355,42.96781924,0.002919372,34.67703088,pLA
38,8.758652963,41.53372841,0.00313848,32.77507545,pLA
39,9.596673759,41.41431033,0.0033197,31.81763657,pLA
40,8.90388558,44.75154909,0.002677814,35.84766351,pLA
41,9.193219449,39.89416998,0.003622706,30.70095053,pLA
42,9.577732738,40.23544463,0.003553218,30.65771189,pLA
43,9.067705382,40.6530283,0.003266907,31.58532292,pLA
44,8.820385936,41.90037353,0.003110559,33.0799876,pLA
45,9.277526479,42.3788615,0.003049867,33.10133502,pLA
46,8.449645141,47.30088815,0.002243112,38.85124301,pLA
47,9.632967289,39.9488535,0.003682145,30.31588621,pLA
48,8.647996187,42.92366699,0.002670498,34.2756708,pLA
49,9.104921213,45.04788958,0.002615345,35.94296837,pLA
