term,mean,sd,lowerCI,median,upperCI,treatment
cf.T0,13.594765266586334,1.5163959870614665,10.018176113285696,13.807319455897288,15.952044078057252,a
cf.Tm,39.81459331304321,2.518260004554397,35.17285992250276,39.652679185494364,44.549679214103925,a
Topt,33.56590666666666,1.9332063513953601,30,33.4,37.2,a
cf.T0,6.156967533757132,2.953689121240055,0.5698162293565529,6.355174407721291,11.650107295518879,c
cf.Tm,38.53461230492003,2.489982801809515,35.38346266660052,37.95709042834587,45.63457074014922,c
Topt,22.8814462263814,3.1749715904150433,16.8,22.6,30.2,c
cf.T0,4.66263749334781,3.0632995848460816,0.4395936527378004,4.112393202018553,11.850361426880173,lf
cf.Tm,46.35312596142054,7.253267860285748,33.75755930177259,45.826091216190505,62.12647589035878,lf
Topt,25.507033333333332,4.382154958962676,18.1,25.1,35,lf
cf.T0,10.775422884500298,2.0959663351167817,6.604767085990076,10.78081978471717,15.070123668459697,PDR
cf.Tm,37.1707482743664,7.600869272752508,26.617984497866857,35.86015660342958,55.15843587113515,PDR
Topt,30.718245954692556,6.167824688925436,22.5,29.9,45,PDR
cf.T0,10.53690170319368,4.250361206430043,1.7968082716574743,10.739640269419564,18.45462143239177,EFGC
cf.Tm,35.289270374902934,2.8426680905903123,30.49067149545915,35.12562352210439,41.6604281708711,EFGC
Topt,22.913273333333333,2.5470102020513212,17.9,22.9,27.8,EFGC
cf.T0,2.6042261753554388,1.4523665265459138,0.24224819713440132,2.5118251303545778,5.662555501261045,EV
cf.Tm,52.04821645674957,4.873594537659209,43.478876225525575,51.74649620589606,62.60912353486752,EV
Topt,26.67765844584284,3.753873797184408,19.7,26.5,35.1,EV
cf.T0,8.99707951568704,0.6593939278412224,7.773931665478212,8.981321831587122,10.634112643588963,pLA
cf.Tm,41.86448583932051,2.0251666323510706,38.593940108051655,41.63518716012724,46.517444965104126,pLA
Topt,25.43144,0.8907542249535605,24,25.3,27.5,pLA
cf.T0,0.09759955881507151,0.12477517026948287,2.7991549340741247e-4,0.05149181003663636,0.4453398391217128,MDR
cf.Tm,35.21640946498401,0.7562131028468548,33.763851775510965,35.199002199479644,36.72947380248354,MDR
Topt,28.182993333333332,0.6055068531339413,27,28.2,29.4,MDR
