"","cf.T0","cf.Tm","Tbreadth","iter"
"1",13.1,33.8,20.7,1
"2",13.6,33.3,19.7,2
"3",13.5,34.8,21.3,3
"4",13.6,32,18.4,4
"5",12.7,26.9,14.2,5
"6",12,29.5,17.5,6
"7",13.3,32.2,18.9,7
"8",11.6,32.5,20.9,8
"9",13.4,29.4,16,9
"10",16,33.3,17.3,10
"11",13.8,29.4,15.6,11
"12",13.6,31.9,18.3,12
"13",13.3,27.3,14,13
"14",13,31.4,18.4,14
"15",13.9,29.3,15.4,15
"16",13.1,32,18.9,16
"17",14.6,30.9,16.3,17
"18",12.4,29.6,17.2,18
"19",13.7,33.9,20.2,19
"20",12.6,28.6,16,20
"21",13.5,30.4,16.9,21
"22",13.7,34.1,20.4,22
"23",16,30.5,14.5,23
"24",17.6,29.7,12.1,24
"25",13.5,30.8,17.3,25
"26",12.6,30.5,17.9,26
"27",12.5,33.8,21.3,27
"28",11.7,32.3,20.6,28
"29",14,32.3,18.3,29
"30",14.1,25.4,11.3,30
"31",12.6,28.8,16.2,31
"32",14.7,32,17.3,32
"33",12.9,28.7,15.8,33
"34",12.1,26.1,14,34
"35",14.4,27.4,13,35
"36",11.9,25.7,13.8,36
"37",13.4,29.5,16.1,37
"38",13.8,25.2,11.4,38
"39",13,28.7,15.7,39
"40",12.6,26.8,14.2,40
"41",13.5,26.9,13.4,41
"42",13.4,30.2,16.8,42
"43",12.2,28.1,15.9,43
"44",12.8,29.4,16.6,44
"45",14,32.2,18.2,45
"46",14.7,27.7,13,46
"47",15.4,33.9,18.5,47
"48",15.4,28.7,13.3,48
"49",15.1,29.8,14.7,49
"50",11.5,33.5,22,50
"51",14.7,31.8,17.1,51
"52",11.5,32.6,21.1,52
"53",13.6,31.4,17.8,53
"54",12.8,33.8,21,54
"55",13.1,27.8,14.7,55
"56",12,29.5,17.5,56
"57",14.8,29.9,15.1,57
"58",14.4,29,14.6,58
"59",13.9,32.6,18.7,59
"60",13.4,33.1,19.7,60
"61",13,26.5,13.5,61
"62",12.7,30,17.3,62
"63",11.2,32.2,21,63
"64",11.7,30,18.3,64
"65",14.7,26.3,11.6,65
"66",13.4,28.8,15.4,66
"67",14.1,33.3,19.2,67
"68",14.3,28.9,14.6,68
"69",12.5,32.6,20.1,69
"70",13,31.5,18.5,70
"71",14.3,33.8,19.5,71
"72",13.4,26.8,13.4,72
"73",11.7,27.4,15.7,73
"74",12.3,29.6,17.3,74
"75",15.9,30,14.1,75
"76",11.1,33.3,22.2,76
"77",14.6,27,12.4,77
"78",13.4,27,13.6,78
"79",14.6,27.6,13,79
"80",13.6,30,16.4,80
"81",14.8,31.8,17,81
"82",14.2,32.2,18,82
"83",15.8,29.7,13.9,83
"84",14.1,33.5,19.4,84
"85",12.1,29,16.9,85
"86",12.9,31.5,18.6,86
"87",13.9,29,15.1,87
"88",13.7,25.5,11.8,88
"89",14.5,26.1,11.6,89
"90",12.2,29.6,17.4,90
"91",12,28,16,91
"92",13.8,26.2,12.4,92
"93",13.7,27.7,14,93
"94",15.5,28.1,12.6,94
"95",14.1,29.7,15.6,95
"96",11.1,25.6,14.5,96
"97",12,29.5,17.5,97
"98",12.9,32.2,19.3,98
"99",13.3,30.9,17.6,99
"100",14.6,33.7,19.1,100
"101",11.5,34,22.5,101
"102",13.2,30.7,17.5,102
"103",15.4,25.7,10.3,103
"104",12.7,29.7,17,104
"105",13.4,30.4,17,105
"106",13.4,29.2,15.8,106
