"","cf.T0","cf.Tm","Tbreadth","iter"
"1",13.9,28.9,15,1
"2",13.8,33.3,19.5,2
"3",13.7,32.9,19.2,3
"4",14.8,26.1,11.3,4
"5",13.6,33.2,19.6,5
"6",12.7,28.8,16.1,6
"7",14.6,29.6,15,7
"8",12.4,31.6,19.2,8
"9",13.7,31.8,18.1,9
"10",13.1,31.5,18.4,10
"11",12.7,33.2,20.5,11
"12",10.4,29.6,19.2,12
"13",13,30.6,17.6,13
"14",15.2,32.2,17,14
"15",16.9,30,13.1,15
"16",15.7,32.5,16.8,16
"17",13.8,30.9,17.1,17
"18",16,30.5,14.5,18
"19",13.3,30.8,17.5,19
"20",14.5,33.5,19,20
"21",13.1,30.3,17.2,21
"22",15.1,31,15.9,22
"23",14.4,31.8,17.4,23
"24",14,31.1,17.1,24
"25",13.3,30.7,17.4,25
"26",12.3,32.8,20.5,26
"27",14.7,30.8,16.1,27
"28",16.7,32.1,15.4,28
"29",13.9,30.9,17,29
"30",13.2,31,17.8,30
"31",12.8,27.7,14.9,31
"32",13.7,28.1,14.4,32
"33",12.4,30.8,18.4,33
"34",11.9,30.7,18.8,34
"35",16.5,30.2,13.7,35
"36",13.6,32.9,19.3,36
"37",12.9,32.5,19.6,37
"38",14.3,30,15.7,38
"39",16,30.7,14.7,39
"40",14.2,25.8,11.6,40
"41",11.7,27.4,15.7,41
"42",14.1,32,17.9,42
"43",12.3,29.4,17.1,43
"44",14.4,31.3,16.9,44
"45",13.5,28.5,15,45
"46",13.3,36.2,22.9,46
"47",13,32.1,19.1,47
"48",16.8,29.1,12.3,48
"49",12.9,30.7,17.8,49
"50",13.7,28.3,14.6,50
"51",15.3,28.8,13.5,51
"52",11.8,28.7,16.9,52
"53",10.5,29.7,19.2,53
"54",13.1,30,16.9,54
"55",15.4,30.4,15,55
"56",15.3,32.3,17,56
"57",13.1,30.7,17.6,57
"58",12.1,31.8,19.7,58
"59",13.6,31.3,17.7,59
"60",16,27.6,11.6,60
"61",12.3,33.4,21.1,61
"62",15.2,29.3,14.1,62
"63",12.4,31.1,18.7,63
"64",13.8,33.3,19.5,64
"65",13.4,25.9,12.5,65
"66",14,31.8,17.8,66
"67",13.3,29.8,16.5,67
"68",16.2,26.4,10.2,68
"69",15.6,32.2,16.6,69
"70",13.6,31.5,17.9,70
"71",11.8,26.6,14.8,71
"72",15.1,27.1,12,72
"73",17.5,33.7,16.2,73
"74",13.8,30.6,16.8,74
"75",11.6,31.5,19.9,75
"76",13.2,31,17.8,76
"77",13.8,28.7,14.9,77
"78",12.8,28.1,15.3,78
"79",11.3,31.8,20.5,79
"80",15.7,27.8,12.1,80
"81",13.2,29.1,15.9,81
"82",16.7,30.5,13.8,82
"83",15.8,26,10.2,83
"84",15.6,32.5,16.9,84
"85",16.1,29.6,13.5,85
"86",14.6,26.7,12.1,86
"87",13.3,31.7,18.4,87
"88",13.6,31.6,18,88
"89",14.6,34.1,19.5,89
"90",11.8,25.4,13.6,90
"91",12.1,35.5,23.4,91
"92",14.2,28.5,14.3,92
"93",15.2,30.4,15.2,93
"94",14.3,33,18.7,94
