term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,4.932162041169868,3.6955199706741513,0.17352783236902314,4.208234786161252,13.563804495897244,EFGC,NA,NA
cf.Tm,34.64389265624936,3.3700007321791627,28.086298473910908,34.51133675072642,42.16995334593108,EFGC,NA,NA
cf.q,0.03755147136370834,0.013572357608971717,0.0203259553947211,0.034544019767331006,0.0725194517595392,EFGC,NA,NA
cf.sigma,26.098151152730598,5.1031207566955805,18.93415930006624,25.27175718026667,38.67973982796922,EFGC,NA,NA
deviance,386.005811367786,5.345056829724087,377.4445309817359,385.50424646868396,398.14648557945554,EFGC,NA,NA
sigma_T0,3.1673913256307853,2.46195259884241,0.11068942078782117,2.5741950456517575,9.040845745209882,EFGC,NA,NA
sigma_Tm,3.840662814508371,2.4861031267333775,0.21129169420531835,3.435511872803778,9.256003387080312,EFGC,NA,NA
sigma_q,0.004347164195933707,0.0027712379868698677,2.014461561934453e-4,0.00404910684347361,0.009563390164037728,EFGC,NA,NA
Topt,28.290791666666667,2.655834550825911,23.2,28.2,34.3,EFGC,26.6,29.8
Tbreadth,29.711730615079496,5.363107296591119,18.180230780217933,30.24416650293799,39.191990037030436,EFGC,NA,NA
