iteration,cf.T0,cf.Tm,cf.q,Tbreadth,trait
1,2.642133706756096,36.38306180833722,4.027760230327114e-4,33.74092810158112,EV
2,0.31170140437363797,36.24212332424273,3.0554044853160826e-4,35.9304219198691,EV
3,4.575448268709865,38.48663948347857,3.0715599642069247e-4,33.91119121476871,EV
4,7.251539094068474,36.635477660291855,3.649334224498362e-4,29.38393856622338,EV
5,0.23459150284731378,36.36356295346481,3.6544011787075165e-4,36.12897145061749,EV
6,0.9662159573094128,38.02793501107343,3.119886088409188e-4,37.061719053764016,EV
7,2.8352470509535284,34.42458722473014,4.395161419244857e-4,31.589340173776613,EV
8,0.19804935007099642,38.98939249122502,3.679231354841319e-4,38.79134314115402,EV
9,3.3410678858235565,33.9644650459849,4.691365680736528e-4,30.623397160161346,EV
10,11.47398560181751,35.64197323660308,6.599830634569841e-4,24.167987634785568,EV
11,3.9345858298401923,34.949839619837455,5.655064347879521e-4,31.015253789997264,EV
12,3.4284161785563474,41.696407084791296,3.7991079092493943e-4,38.26799090623495,EV
13,0.2086087110369083,36.94705535273441,3.183215737453622e-4,36.7384466416975,EV
14,0.7126872461241407,35.83054349008815,3.528171981057713e-4,35.117856243964006,EV
15,3.080748362561629,36.78632722227641,4.00081851317685e-4,33.705578859714784,EV
16,1.2531525673194253,34.53825296460364,4.09679287934654e-4,33.28510039728422,EV
17,3.345422386570334,37.07458438878813,4.127027761837676e-4,33.7291620022178,EV
18,8.318469019312918,34.777662760970635,5.384443421791367e-4,26.459193741657717,EV
19,0.7530541326832475,37.34982516322819,3.507808361336916e-4,36.59677103054494,EV
20,0.9219501037627514,35.925514479920906,3.627041217864082e-4,35.00356437615815,EV
21,1.6499168558525452,39.665553101847784,3.116217989903497e-4,38.01563624599524,EV
22,1.796537883285765,36.12804219608969,3.615842856489026e-4,34.33150431280392,EV
23,4.975237978631911,42.363496517779986,3.9101282558066843e-4,37.388258539148076,EV
24,0.10082681181343243,36.966630010109824,3.2221394388669673e-4,36.86580319829639,EV
25,2.5537228661430547,37.438762862046225,3.972767174332332e-4,34.88503999590317,EV
26,4.039942055770865,40.28593257474393,4.068370952089431e-4,36.245990518973066,EV
27,4.106960997084272,36.687376833283224,4.521362964319732e-4,32.58041583619895,EV
28,1.7832810207105283,40.45771439223412,3.1049200147890174e-4,38.67443337152359,EV
29,2.5899566931471063,43.318774723832874,3.1854568019611205e-4,40.728818030685765,EV
30,0.013665655448090615,37.160421232295555,3.305498094768966e-4,37.14675557684746,EV
31,4.369444668096156,36.7721432022821,4.0171917211254674e-4,32.402698534185944,EV
32,0.7581745376442692,33.982470435050175,3.841505976220746e-4,33.2242958974059,EV
33,0.19245505058697052,35.87826752601807,3.1998389851434694e-4,35.6858124754311,EV
34,7.8067402594948145,36.45695245588122,5.050935370025419e-4,28.650212196386406,EV
35,4.674806783745871,34.55624289759636,5.372749102131233e-4,29.88143611385049,EV
36,3.0445744669089927,34.39425992541522,3.5971191129437104e-4,31.349685458506226,EV
37,2.727569638221545,36.02506002053829,4.516491842190227e-4,33.297490382316745,EV
38,2.385614887584439,35.54342790112486,4.552223714404328e-4,33.15781301354042,EV
39,0.29111900488775205,36.61655102504968,3.889185836165572e-4,36.32543202016193,EV
40,3.908873192139733,33.88907041538842,5.062550074211365e-4,29.980197223248684,EV
41,3.1980150143157777,35.4615923789036,4.2058558612088876e-4,32.263577364587825,EV
42,1.2452247846418814,36.78370276319163,3.3791227357774683e-4,35.53847797854974,EV
43,5.063765327443776,33.71459944517841,4.788943818033113e-4,28.650834117734632,EV
44,0.25843927940847494,37.54158600003279,2.382679218002139e-4,37.28314672062431,EV
45,2.623066109505627,36.65189142263204,3.8438803534009326e-4,34.02882531312641,EV
46,0.9301982736869954,36.53713727863568,3.9511205259293536e-4,35.606939004948686,EV
47,3.011006138999868,36.34042704791485,3.557894784265981e-4,33.32942090891498,EV
48,0.33435331106484706,35.78379856417037,3.597914626371406e-4,35.44944525310552,EV
49,3.045139536875063,35.17491317817546,4.79510044173104e-4,32.129773641300396,EV
50,0.01332847145324576,36.315335229391636,2.7573532594010053e-4,36.30200675793839,EV
51,3.564304935295507,36.51243528064474,3.754866196956757e-4,32.94813034534923,EV
52,0.27000173451277354,37.27454133616425,3.986185517382293e-4,37.00453960165147,EV
53,4.315883625894155,39.167728253343476,3.2462178490618007e-4,34.851844627449324,EV
54,7.1978508903039256,35.42044294253652,3.902651400746493e-4,28.222592052232592,EV
55,1.5632065395373373,34.40894312255466,3.739585833155357e-4,32.84573658301732,EV
56,4.572612216349972,35.75746324782501,4.19760200071924e-4,31.184851031475034,EV
57,4.932375601908602,35.48079742095429,4.2246480124522745e-4,30.548421819045686,EV
58,2.168984852747892,36.060946781531875,3.536664420540465e-4,33.891961928783985,EV
59,1.2306763014966358,40.07723161973993,3.05245879693866e-4,38.8465553182433,EV
60,1.7535387817361543,35.30381412131264,3.7378935794455943e-4,33.55027533957649,EV
61,6.736376034385103,35.77858590468623,4.0458485705966124e-4,29.04220987030113,EV
62,2.6279794511443204,34.78590177271707,4.429286334145302e-4,32.15792232157275,EV
63,0.08789261416164566,37.93352034565881,3.039164798272074e-4,37.84562773149717,EV
64,1.1385682625244031,34.74303125436581,5.386340225809439e-4,33.60446299184141,EV
65,0.7701518965718743,36.2115651381907,3.7105645002541595e-4,35.441413241618825,EV
66,3.4810352147154537,33.943932706046986,4.386088615267661e-4,30.462897491331532,EV
67,0.7596223619858473,39.925759202987834,2.768022517297003e-4,39.166136841001986,EV
68,11.041740445904342,43.01353252889976,5.435096598381692e-4,31.971792082995417,EV
69,0.7012668248529904,35.32416702995407,3.657185069925877e-4,34.622900205101075,EV
70,2.5177844279908452,37.01569872868585,3.794341649313702e-4,34.497914300695,EV
71,6.248148183670676,35.045925500176715,5.262973198487264e-4,28.79777731650604,EV
72,11.627227248207596,39.865082602381314,7.399044546907873e-4,28.237855354173718,EV
73,7.470734308223578,35.96059628798049,5.184664201622764e-4,28.489861979756917,EV
74,0.8330673596071729,36.577966856183274,3.72416730028455e-4,35.7448994965761,EV
75,2.186373060591113,38.828068807940504,4.2614020173082745e-4,36.64169574734939,EV
76,4.890542718494415,36.23828084577431,4.4066817038233673e-4,31.347738127279897,EV
77,0.0754883322472901,33.32408975110693,4.1247292111998665e-4,33.24860141885964,EV
78,1.2173612848475552,35.86912460462092,4.001578880103029e-4,34.651763319773366,EV
79,7.615512781663632,37.57271091735208,4.471415296212924e-4,29.95719813568845,EV
