term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,10.41087334813936,1.1813712001936623,8.067242699097871,10.399122268821175,12.820033725160727,MDR,NA,NA
cf.Tm,37.3474734326682,1.2890378333235146,34.94332474300117,37.30476422428656,40.03337019387324,MDR,NA,NA
cf.q,7.050335757077666e-5,9.418959320938382e-6,5.2528917275614795e-5,7.023759273751211e-5,8.98743574411002e-5,MDR,NA,NA
cf.sigma,0.016367768154041985,0.0012773152474700126,0.014078372809800347,0.01628388085222466,0.019096175254740624,MDR,NA,NA
deviance,-646.8007207662843,8.03966085470897,-660.7139172153917,-647.4668224935068,-629.3135136822333,MDR,NA,NA
sigma_T0,1.285246407762403,1.0116694738200607,0.044552318144284016,1.071663868047262,3.7245739949371623,MDR,NA,NA
sigma_Tm,3.3611478588228363,1.0320320233289453,1.7923640602505198,3.21050234588881,5.8425590458953875,MDR,NA,NA
sigma_q,1.995448169300042e-5,7.2488520746565e-6,5.322386278857749e-6,1.9524742728083756e-5,3.5926446904716976e-5,MDR,NA,NA
Topt,31.130083333333335,0.9965119564739328,29.5,31,33,MDR,30.5,31.5
Tbreadth,26.936600084528845,1.9887990846611325,23.12437247433141,26.89542476681376,31.027533796204494,MDR,NA,NA
