term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,8.427523228549155,3.711536507143378,2.076120627792927,8.165162977975124,15.886543898555232,lf,NA,NA
cf.Tm,26.287438770878893,3.6623082730548826,20.1686633022367,26.01809111112883,34.20682861786001,lf,NA,NA
cf.q,0.11771349327214856,0.0831771907690547,0.042332582956794276,0.09496519356753223,0.3392177696653182,lf,NA,NA
cf.sigma,20.76428198590744,2.8856608176310417,16.08914484965943,20.432740471857894,27.417688539742976,lf,NA,NA
deviance,373.0164361944774,3.986430684059524,367.6806553815112,372.1958238301252,382.9708829281885,lf,NA,NA
sigma_T0,5.262541662536165,2.6886407193894235,0.4867476151419386,5.3096382742123565,9.728758192660745,lf,NA,NA
sigma_Tm,5.314380260259235,2.760466313825711,0.38499524546207825,5.453695095263446,9.743693267151295,lf,NA,NA
sigma_q,5.02993361990644e-4,2.8906367157429416e-4,2.6560756281542047e-5,5.011540867848033e-4,9.757140267121337e-4,lf,NA,NA
Topt,22.128891666666668,2.972365615360349,17.1,21.9,28.6,lf,20,24
Tbreadth,17.859915542329738,5.109785388924699,7.983996533124063,17.782190418950496,28.145802432772047,lf,NA,NA
