parameter,nonarctic,arctic,trait,diff
Tmin,10.388290237508176,7.219296254575337,MDR,3.1689939829328395
Tmax,37.32172263978625,35.63879287654418,MDR,1.6829297632420719
q,7.024297479115762e-5,8.16894020705831e-5,MDR,-1.1446427279425476e-5
Tmin,14.86882743998625,11.418543449646062,PDR,3.4502839903401874
Tmax,35.599023719019485,34.33891687185954,PDR,1.2601068471599461
q,1.0241701057172856e-4,9.190021644598074e-5,PDR,1.0516794125747819e-5
Tmin,10.333790502440907,9.332722336137842,pLA,1.0010681663030656
Tmax,36.55688089609854,36.64847522211197,pLA,-0.09159432601342843
q,0.00409667390452778,0.00373151009049904,pLA,3.651638140287402e-4
Tmin,8.20607241870815,1.4361391595295347,EV,6.7699332591786145
Tmax,43.029642465285505,48.82427822333433,EV,-5.794635758048827
q,0.00248989118311432,0.00173482273165777,EV,7.550684514565499e-4
