trait.name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes
lf,18,97,NA,NA,NA,,total meals per specimen,1,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,52,NA,NA,NA,,total meals per specimen,2,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,61,NA,NA,NA,,total meals per specimen,3,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,77,NA,NA,NA,,total meals per specimen,4,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,89,NA,NA,NA,,total meals per specimen,5,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 5
lf,18,53,NA,NA,NA,,total meals per specimen,6,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,131,NA,NA,NA,,total meals per specimen,7,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,120,NA,NA,NA,,total meals per specimen,8,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,100,NA,NA,NA,,total meals per specimen,9,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,122,NA,NA,NA,,total meals per specimen,10,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,26,NA,NA,NA,,total meals per specimen,1,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 30
lf,18,36,NA,NA,NA,,total meals per specimen,2,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 10
lf,18,34,NA,NA,NA,,total meals per specimen,3,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,52,NA,NA,NA,,total meals per specimen,4,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,50,NA,NA,NA,,total meals per specimen,5,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,23,NA,NA,NA,,total meals per specimen,1,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,36,NA,NA,NA,,total meals per specimen,2,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 11
lf,18,49,NA,NA,NA,,total meals per specimen,3,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,53,NA,NA,NA,,total meals per specimen,4,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,47,NA,NA,NA,,total meals per specimen,5,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,71,NA,NA,NA,,total meals per specimen,0,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,14,NA,NA,NA,,total meals per specimen,1,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,24,NA,NA,NA,,total meals per specimen,2,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 4
lf,18,40,NA,NA,NA,,total meals per specimen,3,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
