trait.name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes
B,18,110,NA,NA,NA,,NA,NA,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,result text,
B,18,45,NA,NA,NA,,NA,NA,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,result text,
B,18,34,NA,NA,NA,,NA,NA,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,result text,
B,18,84,NA,NA,NA,,NA,NA,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,result text,
lf,18,97,NA,NA,NA,,total meals per specimen,1,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,52,NA,NA,NA,,total meals per specimen,2,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,61,NA,NA,NA,,total meals per specimen,3,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,77,NA,NA,NA,,total meals per specimen,4,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,89,NA,NA,NA,,total meals per specimen,5,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 5
lf,18,53,NA,NA,NA,,total meals per specimen,6,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,131,NA,NA,NA,,total meals per specimen,7,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,120,NA,NA,NA,,total meals per specimen,8,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,100,NA,NA,NA,,total meals per specimen,9,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,122,NA,NA,NA,,total meals per specimen,10,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,26,NA,NA,NA,,total meals per specimen,1,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 30
lf,18,36,NA,NA,NA,,total meals per specimen,2,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 10
lf,18,34,NA,NA,NA,,total meals per specimen,3,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,52,NA,NA,NA,,total meals per specimen,4,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,50,NA,NA,NA,,total meals per specimen,5,aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,23,NA,NA,NA,,total meals per specimen,1,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,36,NA,NA,NA,,total meals per specimen,2,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 11
lf,18,49,NA,NA,NA,,total meals per specimen,3,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,53,NA,NA,NA,,total meals per specimen,4,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,47,NA,NA,NA,,total meals per specimen,5,aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,71,NA,NA,NA,,total meals per specimen,0,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,14,NA,NA,NA,,total meals per specimen,1,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,24,NA,NA,NA,,total meals per specimen,2,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 4
lf,18,40,NA,NA,NA,,total meals per specimen,3,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,49,NA,NA,NA,,total meals per specimen,4,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 5
lf,18,57,NA,NA,NA,,total meals per specimen,5,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,56,NA,NA,NA,,total meals per specimen,6,aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
1/a,18,25,51,4,min/max,days between consecutive blood meals,meal count,01-Feb,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 25
1/a,18,14,31,7,min/max,days between consecutive blood meals,meal count,02-Mar,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 18
1/a,18,18,74,5,min/max,days between consecutive blood meals,meal count,03-Apr,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 15
1/a,18,13,35,5,min/max,days between consecutive blood meals,meal count,04-May,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 12
1/a,18,9,15,3,min/max,days between consecutive blood meals,meal count,05-Jun,aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 7
