treatment_temperature,adult_food,relative_humidity,sex,days_to_50%_mortality
4,honey+water,20,F,0
4,honey+water,20,M,0
4,honey+water,50,F,0
4,honey+water,50,M,0
4,honey+water,80,F,0
4,honey+water,80,M,0
4,water,20,F,0
4,water,20,M,0
4,water,50,F,0
4,water,50,M,0
4,water,80,F,0
4,water,80,M,0
4,starved,20,F,0
4,starved,20,M,0
4,starved,50,F,0
4,starved,50,M,0
4,starved,80,F,0
4,starved,80,M,0
13,honey+water,20,F,17.2
13,honey+water,20,M,13
13,honey+water,50,F,25.5
13,honey+water,50,M,11.4
13,honey+water,80,F,18.8
13,honey+water,80,M,10.2
13,water,20,F,19.3
13,water,20,M,10.9
13,water,50,F,27.9
13,water,50,M,13
13,water,80,F,13.9
13,water,80,M,7.4
13,starved,20,F,4.6
13,starved,20,M,1.9
13,starved,50,F,4
13,starved,50,M,1.9
13,starved,80,F,11.6
13,starved,80,M,4.6
21,honey+water,20,F,16.7
21,honey+water,20,M,11.7
21,honey+water,50,F,12.3
21,honey+water,50,M,7
21,honey+water,80,F,16.9
21,honey+water,80,M,25.3
21,water,20,F,37.4
21,water,20,M,5.7
21,water,50,F,19.5
21,water,50,M,8.1
21,water,80,F,12.1
21,water,80,M,8.4
21,starved,20,F,1.4
21,starved,20,M,0.8
21,starved,50,F,2.1
21,starved,50,M,0.8
21,starved,80,F,1.9
21,starved,80,M,0.9
