site,lat,long,temp
Airport Road 1,69.117397,-105.081726,yes
Airport Road 2,69.11678,-105.088061,yes
Airport Road 3,69.11241,-105.09043,no
Airport Road 4,69.11472,-105.08398,no
Airport Road 5,69.11612,-105.08044,no
At KFS Cabin,69.10388,-105.32737,no
Behind CHARS,69.12031,-105.04631,no
Behind College,69.1235,-105.06234,no
Behind OPS building in CHARS,69.12205,-105.04109,no
Construction Shop,69.126256,-105.037837,yes
Construction Shop 1,69.126489,-105.038541,no
Construction Shop 2,69.126152,-105.043931,no
Construction Shop 3,69.125642,-105.035794,no
Creek at end of Pelly Road,69.204162,-104.774428,yes
Creek at end of Pelly Road,69.20421,-104.77438,no
Dew line Road,69.158406,-105.190691,yes
Dew line Road 1,69.13698,-105.17181,no
Dew line Road next to station,69.11926,-105.12775,no
First Creek,69.13329,-105.45542,no
First Creek,69.13284,-105.463245,yes
Freshwater river,69.143364,-104.945461,no
Greiner Lake Inlet,69.178445,-104.819465,no
In front of College,69.12257,-105.05666,no
Outside of CHARS lab,69.120979,-105.042507,no
River at Swimming hole,69.1293,-104.99179,no
River at Swimming hole,69.12863,-104.98762,yes
Sewage-Dump,69.127862,-105.026126,no
Sewage-Dump,69.127081,-105.026465,yes
The Beach,69.105362,-105.406782,no
West Arm Beach,69.091701,-105.254371,no
West Arm Hills,69.10201,-105.24301,no
