Id,DatasetID,IndividualID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Habitat,LabField,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor1Size,Interactor1SizeUnit,Interactor1SizeType,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
82079,69,,PHX60,longevity,mean duration of life stage,19.45,days,11.11,11.11,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,15.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82080,69,,PHX60,longevity,mean duration of life stage,13.6,days,8.99,8.99,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,male,15.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82081,69,,PHX60,longevity,mean duration of life stage,59.35,days,27.44,27.44,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,20.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82082,69,,PHX60,longevity,mean duration of life stage,38.29,days,21.65,21.65,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,male,20.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82083,69,,PHX60,longevity,mean duration of life stage,61.55,days,22.57,22.57,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82084,69,,PHX60,longevity,mean duration of life stage,42.32,days,19.87,19.87,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,male,25.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82085,69,,PHX60,longevity,mean duration of life stage,40.72,days,21.8,21.8,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,30.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82086,69,,PHX60,longevity,mean duration of life stage,21.49,days,20.11,20.11,sd,terrestrial,laboratory,,,,,Registro Brazil,field,1999-01-03,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,male,30.0,Celsius,25.0,Celsius,,,,table 1,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2002-01-01
82826,124,,PHX571,longevity,mean duration of life stage,31.7,days,,,,terrestrial,laboratory,,,,,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,67,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,,,,,,supplementary data,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2015-01-01
82827,124,,PHX571,longevity,mean duration of life stage,36.55,days,,,,terrestrial,laboratory,,,,,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,85,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,27.0,Celsius,,,,,,supplementary data,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2015-01-01
