Id,DatasetID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Habitat,LabField,SecondStressorDef,SecondStressorValue,SecondStressorUnit,TimeStart,TimeEnd,Location,LocationType,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor1DenUnit,FigureTable,Citation,DOI,CuratedByCitation,CuratedByDOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
82453,109,PHX212,survival,percent surviving life stage,0.0,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,80,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (not inc egg stage),,10.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
82454,109,PHX212,survival,percent surviving life stage,50.0,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,80,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (not inc egg stage),,15.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
82455,109,PHX212,survival,percent surviving life stage,77.5,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,80,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (not inc egg stage),,20.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
82456,109,PHX212,survival,percent surviving life stage,76.3,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,80,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (not inc egg stage),,25.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
82457,109,PHX212,survival,percent surviving life stage,67.5,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,80,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (not inc egg stage),,30.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
82458,109,PHX212,survival,percent surviving life stage,2.5,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,80,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (not inc egg stage),,35.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
82459,109,PHX212,survival,percent surviving life stage,0.0,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,120,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (not inc egg stage),,40.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
89443,109,PHX212,survival,percent surviving life stage,4.4,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,180,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,egg,,5.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
89444,109,PHX212,survival,percent surviving life stage,4.0,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,100,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,egg,,10.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
89445,109,PHX212,survival,percent surviving life stage,8.2,percent,,,,terrestrial,laboratory,,,,,,Saint-Pierre Reunion Island,field,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,110,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,egg,,15.0,Celsius,27.5,Celsius,,table 1,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,2009-01-01
