trait_name,temp,trait,genus,species,trait_def,citation,data_source,notes
lf,4,0,aedes,vexans,days to 50% mortality,Costello_1971_JEconEntomol,table 1,adult food: honey+water; RH: 80; sex: F
lf,13,18.8,aedes,vexans,days to 50% mortality,Costello_1971_JEconEntomol,table 1,adult food: honey+water; RH: 80; sex: F
lf,21,16.9,aedes,vexans,days to 50% mortality,Costello_1971_JEconEntomol,table 1,adult food: honey+water; RH: 80; sex: F
lf,23.75,16,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.011
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.012
lf,23.75,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.014
lf,27.5,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.016
lf,27.5,12,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.017
lf,23.75,10,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.026
lf,23.75,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.027
lf,27.5,9,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.036
lf,23.75,2,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.047
lf,23.75,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.048
lf,23.75,7,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.049
lf,13.35,4,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.056
lf,13.35,11,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.057
lf,13.35,8,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.058
lf,13.35,6,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.059
lf,13.35,13,aedes,sierrensis,days,Couper_2024_ProcBiolSci,raw data,HOP_Hop37.060a
