Id,DatasetID,IndividualID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,Habitat,LabField,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
91116,553,PHX577777,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.67,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91118,553,PHX577778,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91120,553,PHX577779,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,13.67,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91122,553,PHX577780,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91124,553,PHX577781,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91126,553,PHX577782,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.5,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91128,553,PHX577783,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91130,553,PHX577784,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91132,553,PHX577785,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,15.33,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91134,553,PHX577786,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91136,553,PHX577787,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,9.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91137,553,PHX577788,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91138,553,PHX577789,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.33,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91140,553,PHX577790,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,10.33,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
91142,553,PHX577791,gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,8.0,days,terrestrial,laboratory,Guadeloupe French West Indies,field,2012-01-02,4,decimal,16.25,-61.583333,Aedes aegypti,Yellow fever mosquito,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,adult,female,24.0,Celsius,supplementary file 1,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,Paul Huxley,phuxly@gmail.com,Interactor1Temp,LocationText,2015-01-01
