Id,DatasetID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Habitat,LabField,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
85662,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (1st),4.2,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85663,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (2nd),4.0,days,0.0,0.0,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85664,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (3rd),3.0,days,0.0,0.0,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85665,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (4th),4.0,days,0.0,0.0,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85666,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (5th),3.0,days,0.0,0.0,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,17,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85667,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (6th),3.6,days,0.2,0.2,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,16,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85668,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (7th),3.9,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,16,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85669,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (8th),4.2,days,0.4,0.4,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,13,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85670,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (9th),4.1,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,9,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
85671,292,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (10th),4.2,days,0.2,0.2,se,terrestrial,laboratory,Trento Italy,field,2018-01-01,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,5,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25.0,Celsius,25.0,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,2020-01-01
